Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
"31,992",640.34,212.89,191.49,1.11,0.44,"32,258",201.83,0.77,0.99,0.98,0.95,0.01,0.00,0.90,1.00,SEKER
"31,994",654.54,212.17,192.42,1.10,0.42,"32,391",201.83,0.79,0.99,0.94,0.95,0.01,0.00,0.90,1.00,SEKER
"32,015",653.68,212.93,191.81,1.11,0.43,"32,375",201.90,0.76,0.99,0.94,0.95,0.01,0.00,0.90,1.00,SEKER
"32,026",654.24,230.98,176.93,1.31,0.64,"32,349",201.93,0.78,0.99,0.94,0.87,0.01,0.00,0.76,1.00,SEKER
"32,038",645.09,224.48,181.94,1.23,0.59,"32,308",201.97,0.77,0.99,0.97,0.90,0.01,0.00,0.81,1.00,SEKER
"32,044",652.65,216.15,188.97,1.14,0.49,"32,395",201.99,0.78,0.99,0.95,0.93,0.01,0.00,0.87,1.00,SEKER
"32,057",642.08,215.92,189.30,1.14,0.48,"32,301",202.03,0.78,0.99,0.98,0.94,0.01,0.00,0.88,1.00,SEKER
"32,066",669.31,236.44,173.23,1.36,0.68,"32,481",202.06,0.78,0.99,0.90,0.85,0.01,0.00,0.73,1.00,SEKER
"32,109",663.58,224.47,182.36,1.23,0.58,"32,567",202.19,0.77,0.99,0.92,0.90,0.01,0.00,0.81,1.00,SEKER
"32,114",648.57,222.66,183.83,1.21,0.56,"32,393",202.21,0.76,0.99,0.96,0.91,0.01,0.00,0.82,1.00,SEKER
"32,167",654.89,217.96,188.20,1.16,0.50,"32,521",202.38,0.76,0.99,0.94,0.93,0.01,0.00,0.86,1.00,SEKER
"32,213",658.22,221.48,185.30,1.20,0.55,"32,585",202.52,0.76,0.99,0.93,0.91,0.01,0.00,0.84,1.00,SEKER
"32,218",653.60,222.76,184.40,1.21,0.56,"32,566",202.54,0.75,0.99,0.95,0.91,0.01,0.00,0.83,1.00,SEKER
"32,233",665.49,221.23,185.59,1.19,0.54,"32,710",202.58,0.78,0.99,0.91,0.92,0.01,0.00,0.84,1.00,SEKER
"32,251",644.05,220.98,186.03,1.19,0.54,"32,514",202.64,0.76,0.99,0.98,0.92,0.01,0.00,0.84,1.00,SEKER
"32,258",654.81,220.80,186.28,1.19,0.54,"32,612",202.66,0.78,0.99,0.95,0.92,0.01,0.00,0.84,1.00,SEKER
"32,262",652.42,222.70,184.51,1.21,0.56,"32,563",202.68,0.78,0.99,0.95,0.91,0.01,0.00,0.83,1.00,SEKER
"32,279",646.56,218.18,188.55,1.16,0.50,"32,623",202.73,0.79,0.99,0.97,0.93,0.01,0.00,0.86,1.00,SEKER
"32,323",649.59,217.37,189.59,1.15,0.49,"32,615",202.87,0.78,0.99,0.96,0.93,0.01,0.00,0.87,1.00,SEKER
"32,338",653.60,221.41,186.14,1.19,0.54,"32,672",202.91,0.78,0.99,0.95,0.92,0.01,0.00,0.84,1.00,SEKER
"32,355",657.17,221.28,186.36,1.19,0.54,"32,720",202.97,0.78,0.99,0.94,0.92,0.01,0.00,0.84,1.00,SEKER
"32,368",675.39,221.66,186.18,1.19,0.54,"32,806",203.01,0.76,0.99,0.89,0.92,0.01,0.00,0.84,1.00,SEKER
"32,376",643.01,219.13,188.30,1.16,0.51,"32,608",203.03,0.78,0.99,0.98,0.93,0.01,0.00,0.86,1.00,SEKER
"32,433",653.76,219.84,188.01,1.17,0.52,"32,775",203.21,0.77,0.99,0.95,0.92,0.01,0.00,0.85,1.00,SEKER
"32,465",653.85,225.20,183.69,1.23,0.58,"32,767",203.31,0.77,0.99,0.95,0.90,0.01,0.00,0.82,1.00,SEKER
"32,514",649.01,221.45,187.13,1.18,0.53,"32,843",203.47,0.78,0.99,0.97,0.92,0.01,0.00,0.84,1.00,SEKER
"32,518",651.65,221.26,187.26,1.18,0.53,"32,811",203.48,0.76,0.99,0.96,0.92,0.01,0.00,0.85,1.00,SEKER
"32,518",655.13,220.82,187.67,1.18,0.53,"32,842",203.48,0.79,0.99,0.95,0.92,0.01,0.00,0.85,1.00,SEKER
"32,525",663.91,225.08,184.21,1.22,0.57,"33,000",203.50,0.77,0.99,0.93,0.90,0.01,0.00,0.82,1.00,SEKER
"32,578",657.57,227.04,182.84,1.24,0.59,"32,901",203.67,0.78,0.99,0.95,0.90,0.01,0.00,0.80,1.00,SEKER
"32,581",649.58,224.42,184.92,1.21,0.57,"32,851",203.67,0.77,0.99,0.97,0.91,0.01,0.00,0.82,1.00,SEKER
"32,615",664.79,218.15,191.00,1.14,0.48,"33,016",203.78,0.81,0.99,0.93,0.93,0.01,0.00,0.87,1.00,SEKER
"32,622",657.01,235.27,177.16,1.33,0.66,"32,902",203.80,0.78,0.99,0.95,0.87,0.01,0.00,0.75,1.00,SEKER
"32,698",653.05,225.01,185.14,1.22,0.57,"32,994",204.04,0.77,0.99,0.96,0.91,0.01,0.00,0.82,1.00,SEKER
"32,705",654.45,223.88,186.15,1.20,0.56,"33,021",204.06,0.78,0.99,0.96,0.91,0.01,0.00,0.83,1.00,SEKER
"32,713",660.04,215.42,193.49,1.11,0.44,"33,020",204.09,0.80,0.99,0.94,0.95,0.01,0.00,0.90,1.00,SEKER
"32,729",656.68,214.27,194.79,1.10,0.42,"33,066",204.14,0.77,0.99,0.95,0.95,0.01,0.00,0.91,1.00,SEKER
"32,774",660.61,222.87,187.48,1.19,0.54,"33,120",204.28,0.79,0.99,0.94,0.92,0.01,0.00,0.84,1.00,SEKER
"32,775",649.81,220.03,189.81,1.16,0.51,"33,062",204.28,0.77,0.99,0.98,0.93,0.01,0.00,0.86,1.00,SEKER
"32,795",651.03,225.21,185.60,1.21,0.57,"33,091",204.34,0.78,0.99,0.97,0.91,0.01,0.00,0.82,1.00,SEKER
"32,796",654.82,223.15,187.42,1.19,0.54,"33,111",204.35,0.80,0.99,0.96,0.92,0.01,0.00,0.84,1.00,SEKER
"32,799",653.73,219.91,190.11,1.16,0.50,"33,087",204.36,0.75,0.99,0.96,0.93,0.01,0.00,0.86,1.00,SEKER
"32,829",658.10,221.60,189.00,1.17,0.52,"33,154",204.45,0.79,0.99,0.95,0.92,0.01,0.00,0.85,1.00,SEKER
"32,836",669.19,218.41,191.76,1.14,0.48,"33,225",204.47,0.80,0.99,0.92,0.94,0.01,0.00,0.88,1.00,SEKER
"32,849",664.11,230.72,181.74,1.27,0.62,"33,245",204.51,0.75,0.99,0.94,0.89,0.01,0.00,0.79,1.00,SEKER
"32,870",655.51,220.36,190.02,1.16,0.51,"33,198",204.58,0.78,0.99,0.96,0.93,0.01,0.00,0.86,1.00,SEKER
"32,885",659.73,227.07,184.56,1.23,0.58,"33,225",204.62,0.79,0.99,0.95,0.90,0.01,0.00,0.81,1.00,SEKER
"32,920",671.61,219.09,191.46,1.14,0.49,"33,376",204.73,0.78,0.99,0.92,0.93,0.01,0.00,0.87,1.00,SEKER
"32,925",656.65,225.13,186.46,1.21,0.56,"33,252",204.75,0.77,0.99,0.96,0.91,0.01,0.00,0.83,1.00,SEKER
"32,934",668.20,221.41,189.60,1.17,0.52,"33,401",204.78,0.78,0.99,0.93,0.92,0.01,0.00,0.86,1.00,SEKER
"32,947",668.23,209.69,200.25,1.05,0.30,"33,336",204.82,0.77,0.99,0.93,0.98,0.01,0.00,0.95,1.00,SEKER
"32,951",688.26,226.65,185.52,1.22,0.57,"33,524",204.83,0.77,0.98,0.87,0.90,0.01,0.00,0.82,1.00,SEKER
"32,988",676.80,224.75,187.18,1.20,0.55,"33,461",204.94,0.77,0.99,0.91,0.91,0.01,0.00,0.83,1.00,SEKER
"33,006",669.77,223.53,188.24,1.19,0.54,"33,458",205.00,0.76,0.99,0.92,0.92,0.01,0.00,0.84,1.00,SEKER
"33,010",665.85,224.97,186.89,1.20,0.56,"33,374",205.01,0.79,0.99,0.94,0.91,0.01,0.00,0.83,1.00,SEKER
"33,013",652.68,223.78,188.03,1.19,0.54,"33,289",205.02,0.79,0.99,0.97,0.92,0.01,0.00,0.84,1.00,SEKER
"33,019",655.70,224.45,187.50,1.20,0.55,"33,340",205.04,0.76,0.99,0.97,0.91,0.01,0.00,0.83,1.00,SEKER
"33,051",663.07,218.95,192.47,1.14,0.48,"33,423",205.14,0.78,0.99,0.94,0.94,0.01,0.00,0.88,1.00,SEKER
"33,058",655.51,224.45,187.88,1.19,0.55,"33,320",205.16,0.80,0.99,0.97,0.91,0.01,0.00,0.84,1.00,SEKER
"33,062",667.97,222.04,189.78,1.17,0.52,"33,439",205.17,0.78,0.99,0.93,0.92,0.01,0.00,0.85,1.00,SEKER
"33,078",659.46,235.56,178.93,1.32,0.65,"33,333",205.22,0.79,0.99,0.96,0.87,0.01,0.00,0.76,1.00,SEKER
"33,078",652.21,221.39,190.35,1.16,0.51,"33,327",205.22,0.77,0.99,0.98,0.93,0.01,0.00,0.86,1.00,SEKER
"33,089",663.92,217.34,194.21,1.12,0.45,"33,466",205.26,0.77,0.99,0.94,0.94,0.01,0.00,0.89,1.00,SEKER
"33,090",653.81,228.41,184.69,1.24,0.59,"33,352",205.26,0.77,0.99,0.97,0.90,0.01,0.00,0.81,1.00,SEKER
"33,143",648.39,222.53,189.74,1.17,0.52,"33,377",205.42,0.77,0.99,0.99,0.92,0.01,0.00,0.85,1.00,SEKER
"33,159",653.80,222.44,189.98,1.17,0.52,"33,415",205.47,0.79,0.99,0.97,0.92,0.01,0.00,0.85,1.00,SEKER
"33,168",680.62,234.32,180.58,1.30,0.64,"33,542",205.50,0.76,0.99,0.90,0.88,0.01,0.00,0.77,1.00,SEKER
"33,171",654.34,222.25,190.36,1.17,0.52,"33,429",205.51,0.79,0.99,0.97,0.92,0.01,0.00,0.86,1.00,SEKER
"33,194",664.66,232.31,182.09,1.28,0.62,"33,520",205.58,0.77,0.99,0.94,0.88,0.01,0.00,0.78,1.00,SEKER
"33,236",660.79,210.86,200.93,1.05,0.30,"33,611",205.71,0.77,0.99,0.96,0.98,0.01,0.00,0.95,1.00,SEKER
"33,248",660.07,230.97,183.43,1.26,0.61,"33,511",205.75,0.79,0.99,0.96,0.89,0.01,0.00,0.79,1.00,SEKER
"33,251",658.96,217.45,194.98,1.12,0.44,"33,565",205.76,0.76,0.99,0.96,0.95,0.01,0.00,0.90,1.00,SEKER
"33,276",704.49,234.79,180.71,1.30,0.64,"33,857",205.84,0.76,0.98,0.84,0.88,0.01,0.00,0.77,1.00,SEKER
"33,316",670.59,229.22,185.28,1.24,0.59,"33,699",205.96,0.78,0.99,0.93,0.90,0.01,0.00,0.81,1.00,SEKER
"33,319",668.60,225.02,188.84,1.19,0.54,"33,732",205.97,0.80,0.99,0.94,0.92,0.01,0.00,0.84,1.00,SEKER
"33,325",674.43,223.83,189.74,1.18,0.53,"33,701",205.99,0.80,0.99,0.92,0.92,0.01,0.00,0.85,1.00,SEKER
"33,330",653.78,224.36,189.43,1.18,0.54,"33,580",206.00,0.79,0.99,0.98,0.92,0.01,0.00,0.84,1.00,SEKER
"33,333",679.26,220.53,192.72,1.14,0.49,"33,834",206.01,0.77,0.99,0.91,0.93,0.01,0.00,0.87,1.00,SEKER
"33,338",659.10,232.26,182.92,1.27,0.62,"33,639",206.03,0.78,0.99,0.96,0.89,0.01,0.00,0.79,1.00,SEKER
"33,344",661.51,225.32,188.67,1.19,0.55,"33,692",206.05,0.76,0.99,0.96,0.91,0.01,0.00,0.84,1.00,SEKER
"33,382",659.43,222.87,190.92,1.17,0.52,"33,730",206.16,0.78,0.99,0.96,0.93,0.01,0.00,0.86,1.00,SEKER
"33,399",664.70,221.56,192.09,1.15,0.50,"33,752",206.22,0.76,0.99,0.95,0.93,0.01,0.00,0.87,1.00,SEKER
"33,421",654.80,219.54,194.03,1.13,0.47,"33,691",206.28,0.76,0.99,0.98,0.94,0.01,0.00,0.88,1.00,SEKER
"33,423",659.04,224.17,189.98,1.18,0.53,"33,707",206.29,0.77,0.99,0.97,0.92,0.01,0.00,0.85,1.00,SEKER
"33,427",665.61,228.22,186.63,1.22,0.58,"33,789",206.30,0.75,0.99,0.95,0.90,0.01,0.00,0.82,1.00,SEKER
"33,429",658.61,229.45,185.70,1.24,0.59,"33,713",206.31,0.79,0.99,0.97,0.90,0.01,0.00,0.81,1.00,SEKER
"33,431",666.84,219.91,193.68,1.14,0.47,"33,788",206.31,0.79,0.99,0.94,0.94,0.01,0.00,0.88,1.00,SEKER
"33,433",657.35,225.00,189.57,1.19,0.54,"33,708",206.32,0.78,0.99,0.97,0.92,0.01,0.00,0.84,1.00,SEKER
"33,446",656.08,224.23,190.26,1.18,0.53,"33,713",206.36,0.77,0.99,0.98,0.92,0.01,0.00,0.85,1.00,SEKER
"33,447",664.41,226.12,188.74,1.20,0.55,"33,791",206.36,0.77,0.99,0.95,0.91,0.01,0.00,0.83,1.00,SEKER
"33,459",655.41,219.13,194.54,1.13,0.46,"33,765",206.40,0.79,0.99,0.98,0.94,0.01,0.00,0.89,1.00,SEKER
"33,468",659.99,224.46,189.95,1.18,0.53,"33,748",206.43,0.79,0.99,0.97,0.92,0.01,0.00,0.85,1.00,SEKER
"33,498",657.52,227.94,187.32,1.22,0.57,"33,745",206.52,0.78,0.99,0.97,0.91,0.01,0.00,0.82,1.00,SEKER
"33,534",657.07,218.84,195.19,1.12,0.45,"33,793",206.63,0.78,0.99,0.98,0.94,0.01,0.00,0.89,1.00,SEKER
"33,538",658.28,227.52,187.94,1.21,0.56,"33,800",206.64,0.76,0.99,0.97,0.91,0.01,0.00,0.82,1.00,SEKER
"33,539",662.42,223.68,191.20,1.17,0.52,"33,915",206.65,0.76,0.99,0.96,0.92,0.01,0.00,0.85,1.00,SEKER
"33,547",653.51,213.75,199.93,1.07,0.35,"33,832",206.67,0.78,0.99,0.99,0.97,0.01,0.00,0.93,1.00,SEKER
"33,560",669.26,227.94,187.86,1.21,0.57,"33,897",206.71,0.74,0.99,0.94,0.91,0.01,0.00,0.82,1.00,SEKER
"33,576",666.34,224.59,190.46,1.18,0.53,"33,927",206.76,0.76,0.99,0.95,0.92,0.01,0.00,0.85,1.00,SEKER
"33,583",657.75,221.71,192.95,1.15,0.49,"33,868",206.78,0.78,0.99,0.98,0.93,0.01,0.00,0.87,1.00,SEKER
"33,584",658.85,223.74,191.35,1.17,0.52,"33,884",206.79,0.75,0.99,0.97,0.92,0.01,0.00,0.85,1.00,SEKER
"33,607",690.17,214.77,199.52,1.08,0.37,"34,162",206.86,0.77,0.98,0.89,0.96,0.01,0.00,0.93,1.00,SEKER
"33,620",670.22,222.78,192.23,1.16,0.51,"34,012",206.90,0.78,0.99,0.94,0.93,0.01,0.00,0.86,1.00,SEKER
"33,623",659.41,217.37,197.08,1.10,0.42,"33,918",206.91,0.79,0.99,0.97,0.95,0.01,0.00,0.91,1.00,SEKER
"33,631",669.08,224.89,190.75,1.18,0.53,"34,009",206.93,0.76,0.99,0.94,0.92,0.01,0.00,0.85,1.00,SEKER
"33,639",663.03,224.66,190.85,1.18,0.53,"33,919",206.96,0.79,0.99,0.96,0.92,0.01,0.00,0.85,1.00,SEKER
"33,717",664.36,231.62,185.65,1.25,0.60,"33,985",207.20,0.77,0.99,0.96,0.89,0.01,0.00,0.80,1.00,SEKER
"33,731",671.70,231.17,186.13,1.24,0.59,"34,073",207.24,0.80,0.99,0.94,0.90,0.01,0.00,0.80,1.00,SEKER
"33,736",655.73,221.39,194.14,1.14,0.48,"33,988",207.25,0.79,0.99,0.99,0.94,0.01,0.00,0.88,1.00,SEKER
"33,794",665.83,219.00,196.58,1.11,0.44,"34,127",207.43,0.78,0.99,0.96,0.95,0.01,0.00,0.90,1.00,SEKER
"33,809",669.34,230.25,187.16,1.23,0.58,"34,143",207.48,0.78,0.99,0.95,0.90,0.01,0.00,0.81,1.00,SEKER
"33,824",656.34,220.75,195.28,1.13,0.47,"34,079",207.52,0.79,0.99,0.99,0.94,0.01,0.00,0.88,1.00,SEKER
"33,838",661.03,222.97,193.48,1.15,0.50,"34,146",207.57,0.78,0.99,0.97,0.93,0.01,0.00,0.87,1.00,SEKER
"33,845",670.95,226.38,190.52,1.19,0.54,"34,159",207.59,0.76,0.99,0.94,0.92,0.01,0.00,0.84,1.00,SEKER
"33,849",669.57,221.61,194.67,1.14,0.48,"34,239",207.60,0.79,0.99,0.95,0.94,0.01,0.00,0.88,1.00,SEKER
"33,858",664.46,234.34,184.14,1.27,0.62,"34,142",207.63,0.78,0.99,0.96,0.89,0.01,0.00,0.79,1.00,SEKER
"33,860",683.32,225.54,191.52,1.18,0.53,"34,319",207.63,0.78,0.99,0.91,0.92,0.01,0.00,0.85,1.00,SEKER
"33,864",662.90,221.22,195.06,1.13,0.47,"34,167",207.65,0.77,0.99,0.97,0.94,0.01,0.00,0.88,1.00,SEKER
"33,866",668.42,230.93,186.86,1.24,0.59,"34,171",207.65,0.80,0.99,0.95,0.90,0.01,0.00,0.81,1.00,SEKER
"33,876",666.97,228.15,189.16,1.21,0.56,"34,211",207.68,0.79,0.99,0.96,0.91,0.01,0.00,0.83,1.00,SEKER
"33,930",666.21,224.15,192.86,1.16,0.51,"34,251",207.85,0.76,0.99,0.96,0.93,0.01,0.00,0.86,1.00,SEKER
"33,946",667.31,231.54,187.03,1.24,0.59,"34,246",207.90,0.79,0.99,0.96,0.90,0.01,0.00,0.81,1.00,SEKER
"33,946",668.56,234.75,184.29,1.27,0.62,"34,280",207.90,0.76,0.99,0.95,0.89,0.01,0.00,0.78,1.00,SEKER
"33,961",690.35,238.19,181.65,1.31,0.65,"34,379",207.94,0.77,0.99,0.90,0.87,0.01,0.00,0.76,1.00,SEKER
"33,961",667.50,233.11,185.73,1.26,0.60,"34,279",207.94,0.77,0.99,0.96,0.89,0.01,0.00,0.80,1.00,SEKER
"33,969",666.39,222.36,194.77,1.14,0.48,"34,260",207.97,0.76,0.99,0.96,0.94,0.01,0.00,0.87,1.00,SEKER
"33,972",672.81,232.99,185.92,1.25,0.60,"34,349",207.98,0.79,0.99,0.94,0.89,0.01,0.00,0.80,1.00,SEKER
"33,993",669.09,219.75,197.09,1.11,0.44,"34,299",208.04,0.78,0.99,0.95,0.95,0.01,0.00,0.90,1.00,SEKER
"33,996",663.74,223.10,194.38,1.15,0.49,"34,285",208.05,0.76,0.99,0.97,0.93,0.01,0.00,0.87,1.00,SEKER
"34,004",659.96,229.06,189.17,1.21,0.56,"34,277",208.08,0.78,0.99,0.98,0.91,0.01,0.00,0.83,1.00,SEKER
"34,027",670.16,231.66,187.41,1.24,0.59,"34,334",208.15,0.78,0.99,0.95,0.90,0.01,0.00,0.81,1.00,SEKER
"34,036",666.07,226.93,191.11,1.19,0.54,"34,369",208.17,0.75,0.99,0.96,0.92,0.01,0.00,0.84,1.00,SEKER
"34,051",677.27,227.62,190.66,1.19,0.55,"34,502",208.22,0.76,0.99,0.93,0.91,0.01,0.00,0.84,1.00,SEKER
"34,053",671.58,232.44,186.79,1.24,0.60,"34,362",208.22,0.74,0.99,0.95,0.90,0.01,0.00,0.80,1.00,SEKER
"34,060",662.15,220.44,196.88,1.12,0.45,"34,367",208.25,0.79,0.99,0.98,0.94,0.01,0.00,0.89,1.00,SEKER
"34,082",668.35,230.63,188.39,1.22,0.58,"34,364",208.31,0.80,0.99,0.96,0.90,0.01,0.00,0.82,1.00,SEKER
"34,097",680.60,227.82,190.81,1.19,0.55,"34,502",208.36,0.76,0.99,0.93,0.91,0.01,0.00,0.84,1.00,SEKER
"34,104",667.29,229.48,189.54,1.21,0.56,"34,421",208.38,0.80,0.99,0.96,0.91,0.01,0.00,0.82,1.00,SEKER
"34,113",673.91,221.24,196.51,1.13,0.46,"34,492",208.41,0.77,0.99,0.94,0.94,0.01,0.00,0.89,1.00,SEKER
"34,130",666.59,235.54,184.78,1.27,0.62,"34,392",208.46,0.80,0.99,0.97,0.89,0.01,0.00,0.78,1.00,SEKER
"34,131",668.09,224.34,193.80,1.16,0.50,"34,473",208.46,0.77,0.99,0.96,0.93,0.01,0.00,0.86,1.00,SEKER
"34,151",674.27,231.51,188.04,1.23,0.58,"34,580",208.52,0.75,0.99,0.94,0.90,0.01,0.00,0.81,1.00,SEKER
"34,151",662.13,226.52,192.24,1.18,0.53,"34,389",208.52,0.78,0.99,0.98,0.92,0.01,0.00,0.85,1.00,SEKER
"34,179",677.06,225.06,193.59,1.16,0.51,"34,576",208.61,0.78,0.99,0.94,0.93,0.01,0.00,0.86,1.00,SEKER
"34,191",661.40,223.98,194.47,1.15,0.50,"34,445",208.65,0.77,0.99,0.98,0.93,0.01,0.00,0.87,1.00,SEKER
"34,207",668.74,228.03,191.42,1.19,0.54,"34,515",208.70,0.76,0.99,0.96,0.92,0.01,0.00,0.84,1.00,SEKER
"34,207",661.14,226.87,192.19,1.18,0.53,"34,421",208.70,0.77,0.99,0.98,0.92,0.01,0.00,0.85,1.00,SEKER
"34,220",677.53,233.18,186.96,1.25,0.60,"34,577",208.73,0.77,0.99,0.94,0.90,0.01,0.00,0.80,1.00,SEKER
"34,222",671.99,223.30,195.24,1.14,0.49,"34,576",208.74,0.78,0.99,0.95,0.93,0.01,0.00,0.87,1.00,SEKER
"34,239",666.44,232.69,187.72,1.24,0.59,"34,510",208.79,0.77,0.99,0.97,0.90,0.01,0.00,0.81,1.00,SEKER
"34,246",684.32,229.91,189.99,1.21,0.56,"34,732",208.81,0.78,0.99,0.92,0.91,0.01,0.00,0.82,1.00,SEKER
"34,253",672.54,228.00,191.37,1.19,0.54,"34,556",208.84,0.79,0.99,0.95,0.92,0.01,0.00,0.84,1.00,SEKER
"34,254",668.70,223.97,194.93,1.15,0.49,"34,575",208.84,0.78,0.99,0.96,0.93,0.01,0.00,0.87,1.00,SEKER
"34,259",676.40,227.54,191.87,1.19,0.54,"34,623",208.85,0.77,0.99,0.94,0.92,0.01,0.00,0.84,1.00,SEKER
"34,276",689.63,229.56,190.41,1.21,0.56,"34,738",208.91,0.76,0.99,0.91,0.91,0.01,0.00,0.83,1.00,SEKER
"34,291",671.51,230.66,189.62,1.22,0.57,"34,619",208.95,0.78,0.99,0.96,0.91,0.01,0.00,0.82,1.00,SEKER
"34,313",671.84,220.93,198.10,1.12,0.44,"34,600",209.02,0.80,0.99,0.96,0.95,0.01,0.00,0.90,1.00,SEKER
"34,321",669.53,228.00,191.83,1.19,0.54,"34,652",209.04,0.79,0.99,0.96,0.92,0.01,0.00,0.84,1.00,SEKER
"34,327",677.31,231.16,189.30,1.22,0.57,"34,714",209.06,0.79,0.99,0.94,0.90,0.01,0.00,0.82,1.00,SEKER
